rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,product_title,product_description
3,Not what I thought I would be getting,"I was very disappointed when I got this facial scrub. I had assumed it was like other scrubs I use but it wasn't. This is a powder which you need to mix with water to make a paste before you put it on your face. I have a tendency to like to use scrubs in the shower with me, so this extra step doesn't really work for me. As far as the scrubbing factor goes, it's ok. I didn't feel a real smoothing or softening of my skin after use the way I have with others. The biggest plus is the fragrance (i love the smell of oranges). I won't be repurchasing.",B08DHTJ25J,B08DHTJ25J,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.63E+12,0,FALSE,"Orange Peel Nature's Cleanse Facial Scrub - by Visage Pure - USDA Organic - Physician Formulated - Research Supported - Natural Exfoliating, Refreshing, Brightening, Skin Tightening Vitamin C Scrub. Cleans the Pores Deeply and Refreshes the Skin Bringing Back Its Glow",[]
5,A little goes a long way!,"This is a really nice moisturizing lotion. It goes on lightly and is readily absorbed into my skin. My skin feels amazingly softer and smoother and allows for a nice base for my makeup to be applied over. You only need a small pea sized amount to cover your entire face and neck. Highly recommend for all skin types, ages and for women as well as men.",B07RBSLNFR,B07RBSLNFR,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.62E+12,0,FALSE,"OGANA CELL Peptide Concentrating Amazing Lotion 2.03 fl.oz. (60ml) - 650ppm Peptide Contained Mild Moisturizing Facial Lotion, Hypoallergenic Natural Ingredients for Sensitive Skin",[]
3,Just ok,"I try to get Keratin treatments every 3 months, but honestly it has been getting costly. So, when I saw this I was excited to try it. I found it difficult to use and almost impossible to get to saturate the back of my hair and straight iron it the way they do in the salon. Front and sides were ok, but I couldn't maneuver the back to get it straight. Then I saw the ingredients after the first time and saw it contained formaldehyde and that was the last time I used the actual treatment. I did, however, use the shampoo and conditioner (and I still am). I wish they sold the S&C separate because I really did like it and I am always in the market for a good hair wash which won't strip my hair between treatments. I will resume my regular treatments at my salon.",B07SLFWZKN,B07SLFWZKN,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.62E+12,0,FALSE,Keratin Secrets Do It Yourself Home Keratin System,[]
5,Good quality hair brush!,"Really nice small brush. Made well, nice wood made with boar bristle, my son absolutely loves this. It brushes his hair well and keeps him looking his best. This compact size makes it nice to keep in the center console of his car or to take on vacation with him. Highly recommend!",B08JTNQFZY,B08JTNQFZY,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.62E+12,0,FALSE,GAINWELL,[]
5,Great refreshing skin care routine!,"I had never tried anything for my skin consisting of pomegranate, so I was anxious to try this. It actually is an entire skin care regimine containing a cleanser, a toner, a facial cream, an eye cream and overall moisurizers. I actually was quite surprised how well this worked from start to finish. It was nice having an entire skin care routine in one package (instead of me working with various separate products. Fragrance is light and smells almost apple-like (but very light). I particularly like the cleanser and the toner. It also comes in a beautiful gift box so this would make a wonderful gift for someone. I bought another for my mother-in-law and plan to give it to her when we visit next month. Highly recommend!",B08GLG6W8T,B08GLG6W8T,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.61E+12,0,FALSE,Hanhoo Red pomegranate 6pcs Skin Care Set (6pcs/set),[]
3,Didn't do much and difficult to place and maintain on your face,"When I saw this, I was thrilled to be able to try it. I have suffered from bags and dark circles under my eyes for years now. I have been 'using' this for almost three weeks and I am not happy with it. First, it's almost impossible for me to keep it in place under my eyes. They come wet out of the packet and I was unsure what side was supposed to be placed on my skin. They do not stay in place and I found them falling off easily. Of course, maybe it was me or my skin, so please don't just rely on my review (read others). I will not be reordering.",B08M3C6LVS,B08M3C6LVS,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.61E+12,0,FALSE,"24K Gold Under Eye Mask– 20 Pairs- Under Eye Patches with Face Massager Roller, Anti-Aging Hyaluronic Acid Collagen Eye Masks for Dark Circles and Puffiness Dark Under Eyes Treatment",[]
5,"Quality hair iron, works perfectly to straighten my hair!","This is a great hair straightener. Heats up quickly and evenly, makes it easy to take the curl out of my naturally wavy hair. It fits easily in my hand and maneuvers around the front and back of my head easily. Does not heat up my countertop (keeps the heat on the iron). I love this pink, too, it matches my decor perfectly. I highly recommend this Bellezza styler.",B07GHPCT6T,B07GHPCT6T,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.60E+12,0,FALSE,Bellezza Versa Styler 1 Inch Titanium Plates Flat Iron Twisted Hair Straighteners (Blush Pink),['Bellezza Versa Styler 1 Inch Titanium Plates Flat Iron Twisted Hair Straighteners (Blush Pink)']
5,Great all natural ear swabs!,"I really like these ear swabs. First they come in a large, handy box and are easy to store (will last a long time). Second, they are all organic and good for the environment. Third, they are strong and don't fall apart very easily. I highly recommend these over Q-Tips (which I have used for years).",B07KG1TWP5,B07KG1TWP5,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.60E+12,0,FALSE,"Organic Bamboo Cotton Ear Swabs by Bali Boo - 200 - Natural Wooden Qtips Cotton Swabs for Cleaning Ears, Baby or Makeup and Nails - Sustainable & Vegan Buds Sticks - Eco Friendly & Biodegradable",[]
5,Wonderful overnight cream!,"To be honest, I rarely have used an overnight cream. Typically, my skin care routine is the same morning and night (wash, apply hyalauronic serum, and some kind of moistutrizer). So, when I saw this Iryasa cream I wanted to try it. Easy to apply, you can immediately feel the moisture starting to work. I do apply this about 30 minutes before I actually go to sleep to allow it time to be absorbed (before putting my face on my pillow) as it is a thicker type of cream and needs time. My skin in the morning feels better than ever. Soft and supple, I definitely feel a difference after using this for over 2 weeks now. I highly recommend this cream for women and men.",B07W397QG4,B07W397QG4,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.59E+12,1,FALSE,Iryasa Night Indulge Cream - Natural Face Cream for Dry Skin - Vegan Anti Aging Night Cream for Women - Firming Cream for Face and Neck - Organic Vitamin C Moisturizer for Face - 1.7oz,[]
5,This really works!,"At first when I saw this, I wasn't sure what this. I looked at the reviews (which were mostly positive) and thought I would give it a try. My skepticism was quickly diminished after trying this for just a few days. I typically shower every morning and I have Vitamin C and Retinol that I apply to my face. So, when I got this I put it in the freezer and followed the instructions. So, instead of just applying the serums to my face, I started using this roller along with the serums. After less than a week I noticed much less puffiness around my eyes (and I am prone to that area to have bags and puffiness). I also noticed my skin looking noticeably better overall. I think applying this roller to my skin allows the pores to absorb the serums faster and deeper. I will continue to use this going forward. I am really impressed with the results!",B07GDQPG12,B07GDQPG12,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.55E+12,0,FALSE,Spa Grade Jade Roller for Face with Gua Sha | Jade Face Roller Massager | Jade Facial Roller | Face Roller Massager | Jade Rollers | Wrinkle Roller,[]
5,Nice manicure set for men or women,"This a really cute kit which would make for a great gift for someone. It is in a little leather like pouch and has everything you need to give yourself a quality manicure. The nail clipper is a perfect size and works just as well on a women or man's nails. The file is nice as well (although I still prefer to use emory boards on mine). I actually bought another one of these to give to my son as a stocking stuffer this last Christmas for him to use at college. Just a nice, quality made kit at a reasonable price.",B07J3GH1W1,B07J3GH1W1,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.55E+12,0,FALSE,"Manicure and Pedicure Nail Clipper from POWERGROOMING - Powerful Trimmer for Thick and Thin Finger Nails and Toe Nails - Included Nail File and""Catcher"" for Easy Cleanup (1 Pack)",[]
5,Great combo pack. Wish I had been using this years ago!,"I love this combo package, particularly the flosser. This makes a great gift package for someone you love, giving them everything they need to keep their mouth/gum health optimal. I have had issues (particularly gums) for the past 5 years. No ones fault but my own for not taking care of my mouth the way I should have all these years. This flosser is great. I fill it with Act Restoring mouthwash and use it after brushing. It amazes me how much stuff this flosser removes with a simple puff of air. Of course, you can purchase both these items separately, but you save in getting them together. Sonicare  makes the best tooth/gum care products on the market bar none!",B01M7UMAUG,B01M7UMAUG,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.51E+12,0,FALSE,"Philips Sonicare Essence+ Gum Health & Airfloss Rechargeable Electric Flosser, Bundle Value Pack, HX8218/02","['Improve your oral health with the new Philips Sonicare Essence+ Gum Health & Airfloss Rechargeable Electric Flosser Value Bundle. This value bundle features a rechargeable toothbrush with unique and effective Sonicare technology. The Essence+ Gum Health toothbrush reduces the amount of plaque at the gum line versus a manual toothbrush, and is designed to help prevent gingivitis and gently lifts away stains for naturally whiter teeth. Included in your value pack is the Philips Sonicare Airfloss Rechargeable Electric Flosser, which offers an easy, fast routine to help prevent cavities and improve long term gum health in between teeth. It uses advanced technology to gently remove plaque between teeth with a rapid burst of air and micro-droplets in just 30 seconds. It is most ideal for inconsistent flossers;Voltage: Multi-voltage charge. Comfortable ergonomic handle. Designed to be easy to maneuver in tight spaces, AirFloss has a comfortable ergonomic handle and a non-slip grip.']"
3,I just don't get it,"I don't see the fuss with this toothbrush. As was mentioned in other reviews, it is smaller and more lightweight than other rechargeable toothbrushes. But, beyond that, I just don't get i. I stopped using my older Phillips Sonicare to use this for the past two+ weeks. The vibrations on this brush are very small and I find myself pushing the toothbrush into my teeth and scrubbing to be sure they are getting clean. Maybe there is some secret sonic vibration thing going on, but it didn't happen for me. If I didn't actually have to still 'brush my teeth' manually with this electric toothbrush, maybe it would be fine. However, it's not the case. Without manual intervention, my teeth did not feel clean. As an fyi, I stopped using it this morning and went back to my Phillips.",B00JMDPK8S,B00JMDPK8S,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.40E+12,0,FALSE,"Panasonic EW-DL82 Sonic Vibration Rechargeable Electric Toothbrush, White",['Sonic vibration rechargeable toothbrush. Clinically proven to reduce stains.']
5,Five Stars,So many great diverse colors,B01ETWL5B2,B01ETWL5B2,AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,1.48E+12,0,TRUE,Beauty Brags Mini Nail Polish 10-Piece Collection Set,[]
5,You won’t regret this purchase.,"Got my new eyebrows in mail today.  Magically my baby caterpillars grew into gorgeous mama size ones.  Papa caterpillar loved the look.  And the eyebrow pen, tweezers and brow shaper templates were just an extra nice bonus!  Thank you.",B07ZJKVVLW,B07ZJKVVLW,AHPUT3ITXCHQJO7OMF74LEMYHIVA,1.58E+12,430,TRUE,"4 Point Eyebrow Pen, Micro Ink Tat Brow Pen Waterproof Eyebrow Pencil With Micro-Fork Tips for Daily Natural Eye Brown Makeup (Dark Brown/ Chestnut)",['eyebrow pen']
5,nice sized !,i had a small one  that just got destroyed  these wires are much longer and bigger  i expect to live a lot longer than the tiny one i had !,B082QX2HP6,B082QX2HP6,AHGAOIZVODNHYMNCBV4DECZH42UQ,1.58E+12,0,TRUE,2 Pieces Hair Brush Cleaner Cleaning Tool Comb Cleaner Hair Brush Cleaner Comb Brushes Mini Hair Dirt Remover Brush with Metal Wire Rake Wooden Handle for Home and Salon Use (Black),[]
3,just ok,its OK  not as good as the  original Wet Brush  just a knock off,B077SRDVG9,B077SRDVG9,AHGAOIZVODNHYMNCBV4DECZH42UQ,1.52E+12,0,TRUE,Original Detangler Hair Brush,[]
1,not what it claims to do,nothing special  unfortunately i waited too long to return them ....  no results at all  dont waste your money,B01AKTGHFW,B01AKTGHFW,AHGAOIZVODNHYMNCBV4DECZH42UQ,1.50E+12,0,TRUE,"Charcoal Konjac Face Sponge 3 pk | Acne, Psoriasis, Bumpy Skin & Ingrown Hairs",[]
5,Moisturizing and cost efficient,I love the cocoa butter and shea butter. I hear the shea butter up and whip it until it softens.,B079SMVSYW,B079SMVSYW,AFGEM6BXCYHUILEOA3P2ZYBEF2TA,1.60E+12,0,TRUE,Yellow Brick Road 1lb Shea Butter/1lb Cocoa Butter Combo,['cocoa shea 1lb']
2,I'll stick to my 5 blade razor.,"I think I need to stick with my 5 blade razor. This razor is not only difficult to hold & is made of a hard slick plastic with no grippers, but doesn't shave as well as my 5 blade razor. The style is nice, but the functionality is not.",B07K8VTT6M,B07K8VTT6M,AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,1.59E+12,0,TRUE,Bromley's 7 Blade Classic Razor - 1 Razor,[]
2,Ineffective,A total waste of money.  I get better results using a tea bag to alleviate under eye swelling.,B083BDVS36,B083BDVS36,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,1.62E+12,0,TRUE,"Adofect 31 Pairs Gold Eye Mask Collagen Eye Gel Pads Under Eye Mask for Puffiness and Dark Circle Under Eye Patches for Women and Men, Gold",[]
5,Love!,"Didn’t expect much but got a nice beautiful surprise! These are nothing short of awesome. Stay on your head - no matter how big your noggin is or how much crazy hair you have. I need to buy more - my daughters have taken all!! The price, quantity and quality is nothing short of “ best deal ever”!!!!",B07H6YGKVJ,B09FP8PP2K,AH6ZNRRCEEWR6P34CNLQ2LRLUU3Q,1.57E+12,0,TRUE,"Yeshan bow Headbands for women Non Slip Stretchy Hair Bands Elastic Headwraps Knotted Headband Wired Rabbit Ears Turban Headbands,Pack of 8",[]
1,halo hair extensions,"This halo hair extension is simply put, garbage.  Now, you get what you pay for.  And this is a very cheap version.  The faux hair is very shiny and looks literally like bad barbie hair.  It looks WAY better in the photos than in real life.  The color is horrific, in my opinion of course.  The streaks are like paint strips.  And all of that would be one thing - but the worst is that the hair completely fell out!  I had hand fulls of hair strands just trying to put the halo on!  And you might think - well, maybe a little loss is to be expected?  Except this was handfuls and handfuls.  I literally dropped the whole thing right into the trash.  I would say this one is a pass for hair loss alone.  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",B0BFR5WF1R,B0BFR5WF1R,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1.68E+12,4,TRUE,Halo Hair Extensions Thick Invisible Wire Hair Extension with Transparent Headband Hairpieces 4 Types Adjustable Headwidth Size Wavy Curly Long 18 Inches Artificial Human Hair Hairpiece for Women Girls Heat-resistant Fiber with 2 Pcs Removable Secure Clips 145g(5.11oz) (Golden Blonde Mix Bleach Blonde Highlights),[]
5,clip rollers,"I purchased these to see if I could set my mom's hair.  She has fine, thin, short hair and I think these could be fun once in a while for a fluffy set.  Mom is 81.  These are super old school - hoping I can do it with a little foam styling product.",B00946GD7K,B00946HGLW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1.60E+12,0,TRUE,1/8 inch Snap On Rollers 8 Pack (Pink),[]
3,replacement filing discs,I purchased the tool for my 80 year old mom because she like to file her own toes and fingers.  This tool makes it so she can.  The thing I don't like?  That you have to purchase ALL four files - the buffing files (2 of the 4) are useless.  So - it would be nice to be able just to purchase the green and blue ones.  The buffing files just go into the trash.,B082FLP15V,B082FLP15V,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1.59E+12,1,TRUE,"Replacement Discs for Bellasonic 4-in-1 Rechargeable Electric Nail File Set with Patented Oscillating Head – Shape, Smooth, Buff & Shine Nails | Remove Cuticles & Calluses (1 Set)",[]
5,They smell good. They are just the right size,I'm a BIG wet nap fan.  Always have been.  They smell good.  They are just the right size.  I carry them every where.  They don't leak like a bottle of hand santizer and fit in any pocket.  1000?  Yeah.  It's alot...but I'm happy to use them freely.  And quit looking for ways to pocket them at a restaurant.  :)  They arrived quickly (I have prime) and in very good shape!,B0020MKBNW,B0020MKBNW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1.41E+12,4,TRUE,Wet-Nap Moist Towelette (case of 1000),['1 travel size moist towelette in individually sealed packet.']
5,QUICK RAIN PROTECTION,"Rrain hats are really handy when<br />one doesn't have an umbrella, and<br />easy to carry in a purse or pocket.",B00023J4AW,B00023J4AW,AFKNVFEXRGUGJAGMENCOWLVDYVCQ,1.61E+12,0,TRUE,Premium Life Rain Hat With Full Visor,['Rain Hat With Full Visor is designed for bouffant hairstyles.']
4,Good Product,"Worked out fine.  Just a bit tight, but o.k.",B005IYYF5E,B005IYYF5E,AFKNVFEXRGUGJAGMENCOWLVDYVCQ,1.49E+12,0,TRUE,"Shower Cap - Blue Dot Pattern, Vinyl material, elastic band, extra large, large, won’t fall off your head,",['NaRaMax Shower Caps X-Large']
5,Oil,Works very well,B07577WHPQ,B0B96MFXSJ,AHFURURV4H35BXUUTXYMJYA36CTQ,1.58E+12,0,TRUE,"PURE ORIGINAL INGREDIENTS Vegetable Glycerin (16 fl oz) Food Grade, Vegan, Hypoallergenic, Odorless, Colorless",[]
1,Don’t bother,Normally I like NYX products but not this one. It leaves a funny coating on your eyebrows and pushes them down so much they look thinner than they are.<br />Not worth it.,B01M5KNSQN,B01M5KNSQN,AFETVW7S5M4LVJ7GTWPCKT7S3YBQ,1.65E+12,0,TRUE,"NYX Eyebrow Shaper, 1 Count",['Beauty & Personal Care']
2,Not worth it,These fall apart easily...I would not buy again,B07KDNK11M,B07KDNK11M,AGF42GID7QWDCNFTJRCTMKAITJJA,1.61E+12,1,TRUE,"Chialstar (2 Pack) Shampoo Brush | Hair Scalp Massager, Soft Silicone Scalp Care Brush [Wet & Dry] Perfect for Men, Women, Kids and Pets (Pink/Green)",[]
4,Great headbands,These are nice and fit well and the masks loop in the right place to stay on your face,B08DLGCYK8,B08DLGCYK8,AGF42GID7QWDCNFTJRCTMKAITJJA,1.61E+12,0,TRUE,"ZYNERY 10 Pack Button Headbands for Nurses Doctors - Non Slip Knotted Elastic Twisted Head Wrap, Wide Headbands with Ear Loop Holder Buttons for Women Girls Ears Protection (B)",[]
5,Really nice quality,These are not what I was expecting. They are super nice quality and can almost be used as ear warmers. Vey thick and plush.  I ordered 3. One for my grand daughter and on for each of my nieces. They love them.,B081GCFHPG,B081GCFHPG,AE5DIA2HDWBPNGBO2FXN2PF4NQJA,1.62E+12,0,TRUE,Bow Hair Band Lovely Rabbit Ears Soft Carol Fleece Bowknot Makeup Cosmetic Shower Elastic Hairlace Headband(pink),[]
5,Nice and natural,"Very natural, light weight and good quality. I use on brides who are not use to lashes but still want a bit of length and definition.",B07H8Z3SMK,B07H8Z3SMK,AF2FTNKCY6XY67BKBUO4BNJRZ4XQ,1.59E+12,0,TRUE,ALICE False Eyelashes Natural Wispy Lashes 5 Pairs Multipack,[]
5,LOVE these!!!,I bought a pack of these and loved themso much I immediately bought another pack. They are perfect all around and the price is great!,B08C9LZQN4,B08C9LZQN4,AHEQRHKGEACLR3RSXRQ7TUIXZGSQ,1.60E+12,0,TRUE,"6 Pack 50ml/1.7oz Travel Plastic Clear Keychain Bottles, Leakproof Refillable Empty Bottles Portable Squeeze Containers with 6Pcs Carabiner and 2Pcs Funnels",[]
5,Nice colors and dries fast,Haven’t worn it very long yet so can’t comment on longevity but looks great and dried pretty fast.,B07H281V4V,B07H281V4V,AHW7W34BLHHC4AYM4TPMLA2SWMMA,1.61E+12,0,TRUE,"ZOYA All Snuggled Up Quad,4 Count (Pack of 1)",[]
1,waste of money,Plastic does not bend for matching your brows and will not lay against your skin for tinting at all. The shapes included are way too large and do not match the natural brow lines. Total waste of money.,B09FF97RHL,B09FF97RHL,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,1.65E+12,0,TRUE,"24 Eyebrow stencil , Meilala Eyebrow Shaper Kit ,Reusable Eyebrow Template Eye Brown Shape Kit With Eyebrow Razor…",[]
5,Quality,Adorable and hold up just fine,B07Y5QX37B,B07Y5QX37B,AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,1.58E+12,0,TRUE,DAWEIF Crystal Rhinestone Bowknot Barrette French Bridal Hair Clips Hairpin Headwear for Women Girls,[]
4,Did the job and looked great,"Loved it. The words worked out fine but the single pins broke right out of the package, so I threw them out, but I didn’t buy these for the single pins.",B07XYXSYCD,B07XYXSYCD,AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,1.58E+12,0,TRUE,Rhinestones Bobby Pins Silver Plated Words Letter Crystal Hair Pins Metal Hair Clips Hair Barrettes Sparkly Hair Accessories 3PCS (3PCS),[]
3,It does work,Be careful there are 3 similar looking packets in the box. 2 are peels and 1 is a moisture mask.,B07NSR3CKR,B07NSR3CKR,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,1.56E+12,0,TRUE,"Foot Peel Mask Exfoliating (3 pairs) - Foot Peeling Mask (2 pairs) & Moisturizing Foot Mask (1 pairs), Make Your Feet Baby Soft, Peel Away Calluses and Dead Skin for Women & Men",[]
5,Great multi pack of bands for a great price,Great multi pack of bands for a great price. They wash well in the laundry and don't lose any elasticity,B018T2SNE0,B07CJWG8SP,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,1.49E+12,0,TRUE,"Cotton Headbands 6 Pack Stretch Elastic Yoga Soft and Stretchy Sports Fashion Headband for Teens Women Girls by Kenz Laurenz (6 pc 2"" Cotton Headbands-Neutral)",[]
